timestamp,sim_time_sec,position_rad,velocity_rad_s,effort_Nm,acceleration_rad_s2
1765048104.6035697,0.02,-0.011715306938770464,-1.1074396730041733,0.019780039852068932,0.0
1765048104.6159518,0.03,-0.025737971414133268,-1.6415244872578412,0.023518633551844595,-43.13386361080248
1765048104.6317945,0.04,-0.04502926602351845,-2.1624582398200025,0.02716516981977974,-32.88167650538735
1765048104.6441774,0.05,-0.0694566216105859,-2.670023504217544,0.030718126670562562,-40.9889294682827
1765048104.6578236,0.06,-0.09888430906123692,-3.1638183328935225,0.03417469047129442,-36.185715722534255
1765048104.6699135,0.07,-0.1331714117519947,-3.6432240670920115,0.03753053061068385,-39.653185599630426
1765048104.6802642,0.08,-0.17216951264730657,-4.107379896318654,0.040779621415270355,-44.84292281634088
1765048104.691734,0.09,-0.21572016779908287,-4.555164974759841,0.04391411696435863,-39.04021671335716
1765048104.7022617,0.1,-0.26365224720669667,-4.985189099770711,0.04692428583943475,-40.847266682434785
1765048104.713122,0.11,-0.31577923482052767,-5.395793085045803,0.049798513736360385,-37.808125789889544
1765048104.7233238,0.12,-0.371896591019846,-5.7850599828448415,0.05252338202095362,-38.156197861792464
1765048104.7340276,0.13,-0.43177929191686915,-6.150838191175422,0.05508382947926768,-34.17273643643588
1765048104.7443724,0.14,-0.49517966876443636,-6.490777194097264,0.05746340249972059,-32.861036661621426
1765048104.7548456,0.15,-0.5618256757731441,-6.802376208681887,0.059644595601812914,-29.751889302229575
1765048104.765128,0.16,-0.6314197138915555,-7.083045351261744,0.06160927959987193,-27.29639686041848
1765048104.7755046,0.17,-0.7036381298243878,-7.330178113803036,0.06333920893766096,-23.81614168274226
1765048104.7857265,0.18,-0.7781314924243861,-7.541233013081374,0.06481659323260935,-20.647208290869283
1765048104.795902,0.19,-0.854525721969952,-7.713821324975865,0.06602471141587077,-16.961218560235963
1765048104.8066216,0.2,-0.9324241120908895,-7.845796952110179,0.06694854080581096,-12.311690149061668
1765048104.8167155,0.21,-1.0114102407535777,-7.9353438163217485,0.06757536885529196,-8.871360057397597
1765048104.8283627,0.22,-1.0910517184887785,-7.981055834100364,0.06789535297974227,-3.924713400002451
1765048104.8384004,0.23,-1.170904672700323,-7.982004613390268,0.06790199443477159,-0.09452195365338217
1765048104.8491282,0.24,-1.2505188208553535,-7.937790548214264,0.06759249597853957,4.121415913058399
1765048104.8602948,0.25,-1.3294429471693885,-7.84857396733913,0.06696797991241361,7.989611880410342
1765048104.8712769,0.26,-1.407230571087094,-7.715084333924967,0.06603355247851449,12.155271229811058
