date,time,timestamp,position_rad,velocity_rad_s,acceleration_rad_s2
2025-12-14,22:17:24.003:,4317.870605,0.000767,0.0,-0.0
2025-12-14,22:17:24.004:,4317.872559,0.000767,0.0,-0.0
2025-12-14,22:17:24.005:,4317.874512,0.000767,0.0,-0.0
2025-12-14,22:17:24.006:,4317.876953,0.000767,0.0,-0.0
2025-12-14,22:17:24.019:,4317.878906,0.000767,0.0,-0.0
2025-12-14,22:17:24.020:,4317.880859,0.000767,0.0,-0.0
2025-12-14,22:17:24.021:,4317.882812,0.000767,0.0,-0.0
2025-12-14,22:17:24.022:,4317.884766,0.0,-0.197516,-19.074476
2025-12-14,22:17:24.023:,4317.887207,-0.003068,-0.928001,-84.01107
2025-12-14,22:17:24.024:,4317.88916,-0.008437,-2.051679,-169.968658
2025-12-14,22:17:24.025:,4317.891602,-0.013039,-2.738008,-197.309052
2025-12-14,22:17:24.026:,4317.893555,-0.019175,-3.6559,-240.058838
2025-12-14,22:17:24.028:,4317.895508,-0.025311,-4.388903,-257.640137
2025-12-14,22:17:24.029:,4317.898438,-0.032214,-5.157591,-274.867706
2025-12-14,22:17:24.031:,4317.900391,-0.04065,-6.118817,-305.033752
2025-12-14,22:17:24.033:,4317.902832,-0.049087,-6.909205,-314.786957
2025-12-14,22:17:24.035:,4317.904785,-0.057524,-7.538815,-308.120148
2025-12-14,22:17:24.047:,4317.906738,-0.065961,-8.042503,-291.528564
2025-12-14,22:17:24.048:,4317.909668,-0.075165,-8.626353,-285.37558
2025-12-14,22:17:24.049:,4317.911621,-0.084369,-9.095392,-270.235107
2025-12-14,22:17:24.051:,4317.913574,-0.095107,-9.836342,-282.433044
2025-12-14,22:17:24.052:,4317.916016,-0.105845,-10.429102,-278.942413
2025-12-14,22:17:24.053:,4317.917969,-0.117349,-11.026203,-275.370911
2025-12-14,22:17:24.054:,4317.920898,-0.129621,-11.683997,-277.846527
2025-12-14,22:17:24.055:,4317.922852,-0.14266,-12.385184,-283.54303
2025-12-14,22:17:24.057:,4317.925293,-0.155699,-12.947462,-275.984589
2025-12-14,22:17:24.058:,4317.927246,-0.170272,-13.753367,-291.203186
2025-12-14,22:17:24.060:,4317.930176,-0.184845,-14.398091,-289.294922
2025-12-14,22:17:24.063:,4317.932129,-0.200951,-15.276206,-308.261383
2025-12-14,22:17:24.065:,4317.934082,-0.217058,-15.978698,-308.069458
2025-12-14,22:17:24.076:,4317.936523,-0.234699,-16.894972,-326.549469
2025-12-14,22:17:24.077:,4317.938477,-0.251573,-17.449209,-309.68692
2025-12-14,22:17:24.078:,4317.941406,-0.26998,-18.252041,-317.957825
2025-12-14,22:17:24.079:,4317.943359,-0.287621,-18.715445,-294.891296
2025-12-14,22:17:24.081:,4317.945801,-0.306029,-19.259405,-283.420502
2025-12-14,22:17:24.082:,4317.947754,-0.324437,-19.709602,-266.19278
2025-12-14,22:17:24.083:,4317.950684,-0.343611,-20.239216,-259.269348
2025-12-14,22:17:24.084:,4317.952637,-0.36432,-21.020632,-275.750946
2025-12-14,22:17:24.085:,4317.955078,-0.385029,-21.647877,-275.477844
2025-12-14,22:17:24.087:,4317.957031,-0.406505,-22.324232,-279.504242
2025-12-14,22:17:24.099:,4317.959473,-0.428747,-23.046368,-286.75473
2025-12-14,22:17:24.101:,4317.961914,-0.45099,-23.621807,-279.704437
2025-12-14,22:17:24.102:,4317.964355,-0.473233,-24.086695,-264.436127
2025-12-14,22:17:24.103:,4317.966309,-0.497009,-24.816484,-275.397522
2025-12-14,22:17:24.104:,4317.968262,-0.520019,-25.221376,-255.741638
2025-12-14,22:17:24.105:,4317.970703,-0.543796,-25.721804,-248.356079
2025-12-14,22:17:24.106:,4317.973145,-0.568339,-26.303513,-249.578033
2025-12-14,22:17:24.107:,4317.975586,-0.59365,-26.945236,-255.781677
2025-12-14,22:17:24.108:,4317.977539,-0.618961,-27.450882,-248.78656
2025-12-14,22:17:24.111:,4317.97998,-0.644271,-27.863132,-235.080902
2025-12-14,22:17:24.112:,4317.982422,-0.670349,-28.363827,-231.793488
2025-12-14,22:17:24.124:,4317.984863,-0.696427,-28.772348,-221.160355
2025-12-14,22:17:24.125:,4317.986816,-0.723271,-29.272558,-220.63382
2025-12-14,22:17:24.126:,4317.989258,-0.749349,-29.496677,-196.0979
2025-12-14,22:17:24.127:,4317.991211,-0.77696,-30.036352,-204.073318
2025-12-14,22:17:24.128:,4317.994141,-0.805339,-30.646954,-216.65625
2025-12-14,22:17:24.129:,4317.996094,-0.834485,-31.323223,-232.542999
2025-12-14,22:17:24.130:,4317.998535,-0.862863,-31.676449,-216.924286
2025-12-14,22:17:24.132:,4318.000488,-0.892009,-32.140865,-214.170792
2025-12-14,22:17:24.133:,4318.002441,-0.921154,-32.521332,-204.667038
2025-12-14,22:17:24.145:,4318.005371,-0.9503,-32.816772,-189.581451
2025-12-14,22:17:24.145:,4318.007324,-0.980213,-33.235119,-188.281921
2025-12-14,22:17:24.147:,4318.009766,-1.010892,-33.745682,-195.294205
2025-12-14,22:17:24.148:,4318.011719,-1.042339,-34.336281,-207.92894
2025-12-14,22:17:24.149:,4318.014648,-1.073018,-34.636017,-192.601242
2025-12-14,22:17:24.150:,4318.016602,-1.102931,-34.687462,-158.581863
2025-12-14,22:17:24.150:,4318.019043,-1.134378,-35.089706,-162.072906
2025-12-14,22:17:24.151:,4318.020996,-1.165824,-35.411503,-157.82431
2025-12-14,22:17:24.153:,4318.023438,-1.198038,-35.841381,-163.852661
2025-12-14,22:17:24.165:,4318.025879,-1.230251,-36.116932,-154.960022
2025-12-14,22:17:24.166:,4318.02832,-1.262465,-36.4123,-149.820816
2025-12-14,22:17:24.167:,4318.030273,-1.294678,-36.638737,-139.650055
2025-12-14,22:17:24.168:,4318.032715,-1.324591,-36.295746,-81.685822
2025-12-14,22:17:24.169:,4318.035156,-1.355271,-36.334652,-68.819313
2025-12-14,22:17:24.170:,4318.037109,-1.38595,-36.372292,-58.41613
2025-12-14,22:17:24.171:,4318.039551,-1.417397,-36.571671,-64.502869
2025-12-14,22:17:24.171:,4318.041504,-1.448076,-36.571705,-51.605366
2025-12-14,22:17:24.173:,4318.043457,-1.477222,-36.199806,-8.064228
2025-12-14,22:17:24.185:,4318.046387,-1.504834,-35.674854,41.423855
2025-12-14,22:17:24.186:,4318.04834,-1.531678,-35.053516,89.675743
2025-12-14,22:17:24.187:,4318.050293,-1.558523,-34.553482,117.218933
2025-12-14,22:17:24.188:,4318.052734,-1.585367,-34.022892,141.064819
2025-12-14,22:17:24.189:,4318.054688,-1.610678,-33.233841,183.177261
2025-12-14,22:17:24.190:,4318.057617,-1.639057,-33.272175,143.155426
2025-12-14,22:17:24.191:,4318.05957,-1.67127,-34.273869,25.246826
2025-12-14,22:17:24.192:,4318.061523,-1.701183,-34.67384,-16.180075
2025-12-14,22:17:24.203:,4318.063965,-1.732629,-35.226257,-62.267075
2025-12-14,22:17:24.204:,4318.066406,-1.764076,-35.66819,-89.271935
2025-12-14,22:17:24.205:,4318.068359,-1.79629,-36.200928,-118.962189
2025-12-14,22:17:24.206:,4318.070801,-1.826202,-35.939388,-72.28791
2025-12-14,22:17:24.207:,4318.072754,-1.856882,-36.059345,-68.545555
2025-12-14,22:17:24.208:,4318.075195,-1.887561,-36.145531,-62.524712
2025-12-14,22:17:24.209:,4318.077637,-1.917474,-36.028858,-39.616516
