date,time,timestamp,position_rad,velocity_rad_s,acceleration_rad_s2
2025-11-13,04:08:48.554:,9.037598,-1.045391,0.032899,-3.160235
2025-11-13,04:08:48.566:,4689.040039,-1.045391,0.026320,-3.156940
2025-11-13,04:08:48.566:,4689.041992,-1.045391,0.021056,-3.028794
2025-11-13,04:08:48.567:,4689.043945,-1.045391,0.016845,-2.825437
2025-11-13,04:08:48.568:,4689.045898,-1.045391,0.013476,-2.582270
2025-11-13,04:08:48.568:,4689.047852,-1.045391,0.010780,-2.323107
2025-11-13,04:08:48.569:,4689.050293,-1.045391,0.008624,-2.064515
2025-11-13,04:08:48.569:,4689.052246,-1.045391,0.006900,-1.816593
2025-11-13,04:08:48.580:,4689.054688,-1.045391,0.005520,-1.585196
2025-11-13,04:08:48.592:,4689.056641,-1.045391,0.004416,-1.372646
2025-11-13,04:08:48.592:,4689.058594,-1.045391,0.003533,-1.182627
2025-11-13,04:08:48.593:,4689.061035,-1.045391,0.002826,-1.013678
2025-11-13,04:08:48.593:,4689.062988,-1.045391,0.002261,-0.864978
2025-11-13,04:08:48.594:,4689.064941,-1.045391,0.001809,-0.735210
2025-11-13,04:08:48.594:,4689.066895,-1.045391,0.001447,-0.622734
2025-11-13,04:08:48.595:,4689.068848,-1.045391,0.001158,-0.525853
2025-11-13,04:08:48.595:,4689.071289,-1.045391,0.000926,-0.442794
2025-11-13,04:08:48.595:,4689.073242,-1.045391,0.000741,-0.371942
2025-11-13,04:08:48.596:,4689.075195,-1.045391,0.000593,-0.311732
2025-11-13,04:08:48.596:,4689.077148,-1.045391,0.000474,-0.260723
2025-11-13,04:08:48.597:,4689.079590,-1.045391,0.000379,-0.217644
2025-11-13,04:08:48.598:,4689.082031,-1.045391,0.000303,-0.181368
2025-11-13,04:08:48.609:,4689.083984,-1.045391,0.000243,-0.150899
2025-11-13,04:08:48.609:,4689.085938,-1.045391,0.000194,-0.125365
2025-11-13,04:08:48.609:,4689.087891,-1.045391,0.000155,-0.103969
2025-11-13,04:08:48.610:,4689.089844,-1.045391,0.000124,-0.086148
2025-11-13,04:08:48.610:,4689.092285,-1.045391,0.000099,-0.071295
2025-11-13,04:08:48.611:,4689.094238,-1.045391,0.000080,-0.058938
2025-11-13,04:08:48.613:,4689.096191,-1.045391,0.000064,-0.048672
2025-11-13,04:08:48.624:,4689.098145,-1.045391,0.000051,-0.040156
2025-11-13,04:08:48.625:,4689.100098,-1.045391,0.000041,-0.033100
2025-11-13,04:08:48.625:,4689.103027,-1.045391,0.000033,-0.027260
2025-11-13,04:08:48.626:,4689.104980,-1.045391,0.000026,-0.022432
2025-11-13,04:08:48.626:,4689.106934,-1.045391,0.000021,-0.018445
2025-11-13,04:08:48.627:,4689.108887,-1.045391,0.000017,-0.015155
2025-11-13,04:08:48.628:,4689.110840,-1.045391,0.000013,-0.012444
2025-11-13,04:08:48.638:,4689.113281,-1.045391,0.000011,-0.010210
2025-11-13,04:08:48.639:,4689.115234,-1.045391,0.000009,-0.008372
2025-11-13,04:08:48.639:,4689.117188,-1.045391,0.000007,-0.006862
2025-11-13,04:08:48.640:,4689.119141,-1.045391,0.000005,-0.005619
2025-11-13,04:08:48.640:,4689.121094,-1.045391,0.000004,-0.004600
2025-11-13,04:08:48.641:,4689.123535,-1.045391,0.000003,-0.003764
2025-11-13,04:08:48.642:,4689.125488,-1.045391,0.000003,-0.003078
2025-11-13,04:08:48.653:,4689.127930,-1.045391,0.000002,-0.002516
2025-11-13,04:08:48.654:,4689.129883,-1.045391,0.000002,-0.002056
2025-11-13,04:08:48.654:,4689.131836,-1.045391,0.000001,-0.001679
2025-11-13,04:08:48.655:,4689.134277,-1.045391,0.000001,-0.001371
2025-11-13,04:08:48.655:,4689.136230,-1.045391,0.000001,-0.001118
2025-11-13,04:08:48.655:,4689.138184,-1.045391,0.000001,-0.000912
2025-11-13,04:08:48.657:,4689.140137,-1.045391,0.000001,-0.000744
2025-11-13,04:08:48.667:,4689.142090,-1.045391,0.000000,-0.000606
2025-11-13,04:08:48.667:,4689.144531,-1.045391,0.000000,-0.000494
2025-11-13,04:08:48.668:,4689.146484,-1.045391,0.000000,-0.000403
2025-11-13,04:08:48.668:,4689.148438,-1.045391,0.000000,-0.000328
2025-11-13,04:08:48.669:,4689.150391,-1.045391,0.000000,-0.000267
2025-11-13,04:08:48.669:,4689.152344,-1.045391,0.000000,-0.000217
2025-11-13,04:08:48.671:,4689.155273,-1.045391,0.000000,-0.000177
2025-11-13,04:08:48.682:,4689.157227,-1.045391,0.000000,-0.000144
2025-11-13,04:08:48.682:,4689.159180,-1.045391,0.000000,-0.000117
2025-11-13,04:08:48.683:,4689.161133,-1.045391,0.000000,-0.000095
2025-11-13,04:08:48.683:,4689.163086,-1.045391,0.000000,-0.000077
2025-11-13,04:08:48.684:,4689.165527,-1.045391,0.000000,-0.000063
2025-11-13,04:08:48.684:,4689.167480,-1.045391,0.000000,-0.000051
2025-11-13,04:08:48.685:,4689.169434,-1.045391,0.000000,-0.000041
2025-11-13,04:08:48.696:,4689.171387,-1.045391,0.000000,-0.000034
2025-11-13,04:08:48.696:,4689.173340,-1.045391,0.000000,-0.000027
2025-11-13,04:08:48.697:,4689.175781,-1.045391,0.000000,-0.000022
2025-11-13,04:08:48.697:,4689.177734,-1.045391,0.000000,-0.000018
2025-11-13,04:08:48.698:,4689.179688,-1.045391,0.000000,-0.000015
2025-11-13,04:08:48.698:,4689.182129,-1.045391,0.000000,-0.000012
2025-11-13,04:08:48.700:,4689.184082,-1.045391,0.000000,-0.000010
2025-11-13,04:08:48.711:,4689.186523,-1.045391,0.000000,-0.000008
2025-11-13,04:08:48.711:,4689.188477,-1.045391,0.000000,-0.000006
2025-11-13,04:08:48.712:,4689.190430,-1.045391,0.000000,-0.000005
2025-11-13,04:08:48.712:,4689.192383,-1.045391,0.000000,-0.000004
2025-11-13,04:08:48.713:,4689.194336,-1.045391,0.000000,-0.000003
2025-11-13,04:08:48.713:,4689.196289,-1.045391,0.000000,-0.000003
2025-11-13,04:08:48.715:,4689.198730,-1.045391,0.000000,-0.000002
2025-11-13,04:08:48.726:,4689.200684,-1.045391,0.000000,-0.000002
2025-11-13,04:08:48.727:,4689.202637,-1.045391,0.000000,-0.000001
2025-11-13,04:08:48.727:,4689.204590,-1.045391,0.000000,-0.000001
2025-11-13,04:08:48.728:,4689.206543,-1.045391,0.000000,-0.000001
2025-11-13,04:08:48.729:,4689.208984,-1.045391,0.000000,-0.000001
2025-11-13,04:08:48.729:,4689.211426,-1.045391,0.000000,-0.000001
2025-11-13,04:08:48.730:,4689.213379,-1.045391,0.000000,-0.000001
2025-11-13,04:08:48.731:,4689.215332,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.742:,4689.217285,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.743:,4689.219727,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.743:,4689.221680,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.744:,4689.223633,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.744:,4689.225586,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.745:,4689.227539,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.746:,4689.229980,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.757:,4689.231934,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.757:,4689.233887,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.758:,4689.235840,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.759:,4689.237793,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.759:,4689.240723,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.760:,4689.242676,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.760:,4689.244629,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.771:,4689.246582,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.772:,4689.248535,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.772:,4689.250977,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.773:,4689.252930,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.774:,4689.254883,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.774:,4689.256836,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.775:,4689.258789,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.786:,4689.261230,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.787:,4689.263184,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.787:,4689.265137,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.788:,4689.267578,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.788:,4689.269531,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.789:,4689.271973,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.790:,4689.273926,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.801:,4689.275879,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.802:,4689.277832,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.802:,4689.279785,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.803:,4689.282227,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.803:,4689.284180,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.804:,4689.286133,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.805:,4689.288086,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.815:,4689.290039,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.815:,4689.292480,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.817:,4689.294922,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.818:,4689.296875,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.818:,4689.298828,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.819:,4689.300781,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.820:,4689.303223,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.822:,4689.305176,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.832:,4689.307129,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.833:,4689.309082,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.833:,4689.311035,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.834:,4689.313477,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.834:,4689.315430,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.835:,4689.317383,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.836:,4689.319336,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.838:,4689.321777,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.840:,4689.324219,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.851:,4689.326172,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.852:,4689.328125,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.852:,4689.330078,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.853:,4689.332031,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.854:,4689.334473,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.854:,4689.336426,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.855:,4689.338379,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.857:,4689.340332,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.867:,4689.342285,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.869:,4689.344727,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.869:,4689.346680,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.870:,4689.349121,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.870:,4689.351074,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.871:,4689.353027,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.872:,4689.355469,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.882:,4689.357422,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.883:,4689.359375,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.883:,4689.361328,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.884:,4689.363281,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.884:,4689.365723,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.885:,4689.367676,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.886:,4689.369629,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.897:,4689.371582,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.898:,4689.373535,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.899:,4689.376465,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.899:,4689.378418,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.900:,4689.380371,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.900:,4689.382324,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.901:,4689.384277,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.903:,4689.386719,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.913:,4689.388672,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.915:,4689.390625,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.915:,4689.392578,-1.045391,0.000000,-0.000000
2025-11-13,04:08:48.915:,4689.394531,-1.045391,0.000000,-0.000000
