timestamp,sim_time_sec,position_rad,velocity_rad_s,effort_Nm,acceleration_rad_s2
1765994588.5527666,0.0,-0.7728341061052179,-12.070541037880963,0.005628925503877735,0.0
1765994588.5637944,0.010000000000000009,-0.8986828835454563,-12.999709080149646,0.006000592720785205,-84.25678290222918
1765994588.573943,0.01999999999999999,-1.0335661896526074,-13.879122739331963,0.006352358184458135,-86.65433041307686
1765994588.5842073,0.03,-1.1768719247293817,-14.687622858653256,0.006675758232186651,-78.76742740104469
1765994588.5943434,0.04000000000000001,-1.3277662398482653,-15.402368704800544,0.006961656570645575,-70.51468602058038
1765994588.6048422,0.04999999999999999,-1.4851835331160261,-16.000133155290982,0.0072007623508417535,-56.93666006017587
1765994588.6149695,0.06,-1.6478312879671506,-16.458924440125596,0.007384278864775592,-45.3024017973718
1765994588.625049,0.07,-1.8142122207718374,-16.759776305362568,0.0075046196108703835,-29.84753368902455
1765994588.6351695,0.07999999999999999,-1.9826641866165227,-16.88847290846912,0.007556098252113006,-12.716563258486138
1765994588.6454322,0.09,-2.151415716798655,-16.83693943196323,0.0075354848615106496,5.021420992973693
1765994588.6556222,0.1,-2.3186524617282704,-16.604055970329213,0.007442331476857044,22.854095336111506
1765994588.665612,0.10999999999999999,-2.4825878429261956,-16.195743663274676,0.007279006554035228,40.87317285747189
1765994588.675813,0.12,-2.6415304291713095,-15.624307201781605,0.007050431969437997,56.017815084051705
1765994588.6861289,0.13,-2.7939411767855304,-14.907157760807644,0.006763572193048416,69.51887697316369
1765994588.6963212,0.14,-2.9384755290149376,-14.0651441484319,0.006426766748098122,82.61195467700665
1765994588.7066565,0.15000000000000002,-3.074007931780548,-13.120761497425509,0.006049013687695563,91.3753011752684
1765994588.7170672,0.15999999999999998,-3.1996389382639068,-12.096483903658463,0.005639302650188745,98.38619540712443
1765994588.7273006,0.16999999999999998,-3.3146871865813736,-11.013398484384822,0.005206068482479283,105.83825325942655
1765994588.73798,0.18,-3.418669834325004,-9.890231326267294,0.004756801619232278,105.17289926685528
1765994588.7483776,0.19,-3.5112754856992794,-8.742776036504724,0.004297819503327246,110.35693544455086
1765994588.7589502,0.2,-3.592333417835226,-7.583678455512062,0.003834180470930187,109.63147187614942
1765994588.7694411,0.21000000000000002,-3.6617822602575147,-6.42250077517508,0.003369709398795388,110.68433683351039
1765994588.7797332,0.21999999999999997,-3.719640457754546,-5.265981034489818,0.002907101502521295,112.37016712460982
1765994588.7900772,0.22999999999999998,-3.7659800426995256,-4.118412253940222,0.0024480739903014513,110.94021865427312
1765994588.8005085,0.24,-3.8009045708369285,-2.982081670415989,0.0019935417568917565,108.93481239253119
1765994588.8112462,0.25,-3.8245315794376338,-1.8577287283287913,0.0015438005800568733,104.71119396070122
1765994588.8215466,0.26,-3.836979606426109,-0.7449969867265005,0.0010987078834159606,108.02803496816088
1765994588.832157,0.27,-3.8383950592424156,0.3429685182107807,-0.0009378964960096693,102.53821246254091
1765994588.8421092,0.27999999999999997,-3.829141684150027,1.4005560852288328,-0.0013609315228168876,106.26557177716225
1765994588.8536212,0.29,-3.8093568936962705,2.450196086922213,-0.0017807875234942306,91.17757601040802
1765994588.8631337,0.3,-3.7791163351112913,3.4924840766983816,-0.0021977027194047026,109.57122373728365
1765994588.8739898,0.31,-3.7384940498002845,4.527173293771061,-0.0026115784062337695,95.30902450750666
1765994588.884334,0.32,-3.6875727623356807,5.552837218195135,-0.0030218439760034037,99.15288682940952
1765994588.894553,0.33,-3.626457462058073,6.566548461388108,-0.0034273284732805926,99.20004484657987
1765994588.905185,0.33999999999999997,-3.555292044554125,7.563587896687949,-0.003826144247400524,93.7768868375984
1765994588.9157035,0.35,-3.47427859160056,8.537207107825775,-0.004215591931855663,92.56210507620995
1765994588.92587,0.36,-3.38369858484788,9.478476711846268,-0.004592099773463861,92.58626357781401
1765994588.9364119,0.37,-3.2839349773024216,10.376260987208546,-0.0049512134836087705,85.16329331665247
1765994588.9466357,0.38,-3.1754936181443933,11.217362742135254,-0.005287654185579454,82.268468240663
1765994588.9568489,0.39,-3.0590221024701663,11.986878142851388,-0.005595460345865919,75.34564799788231
1765994588.9666593,0.4,-2.9353237933250784,12.668786137970214,-0.005868223543913444,69.5083462515522
1765994588.9772303,0.41000000000000003,-2.8053646583570937,13.246769555931213,-0.006099416911097843,54.676308401089116
1765994588.9871733,0.42000000000000004,-2.6702707970315633,13.705226470005808,-0.0062827996767276795,46.10847085485163
1765994588.9978125,0.43000000000000005,-2.531315187023227,14.030386956592917,-0.006412863871362523,30.56252083036609
1765994589.0086236,0.43999999999999995,-2.389893246895936,14.211412107580747,-0.006485273931757655,16.744393315445148
1765994589.0196917,0.44999999999999996,-2.2474881774412143,14.241331312756122,-0.006497241613827805,2.7031911324967326
1765994589.0303304,0.45999999999999996,-2.1056284726949825,14.117680475896378,-0.006447781279083907,-11.622724208779765
1765994589.040771,0.47,-1.9658411834957086,13.842741251278401,-0.006337805589236717,-26.333691616361374
1765994589.0514224,0.48,-1.8296051901006904,13.423343318744546,-0.006170046416223179,-39.37509627349696
1765994589.0617442,0.49,-1.6983087264812424,12.870263396096782,-0.00594881444716407,-53.58338142150487
1765994589.0721416,0.5,-1.5732147004544617,12.197317814217596,-0.005679636214412399,-64.72227346613607
1765994589.0826316,0.51,-1.455436144994995,11.420284867962815,-0.005368823035910481,-74.07410324578878
1765994589.092843,0.52,-1.3459227003706755,10.555801887618168,-0.005023029843772623,-84.65805328955112
1765994589.1036034,0.53,-1.2454576632842789,9.620362742624005,-0.004648854185774962,-86.93424061875383
